,Irrigation (inches),,,,,,,,,,,,,,,,,,,,
ID,4/25/24,5/23/24,6/11/24,6/18/24,6/25/24,7/2/24,7/9/24,7/10/24,7/16/24,7/17/24,7/23/24,7/23/24,7/30/24,8/6/24,8/7/24,8/13/24,8/20/24,8/27/24,9/3/24,9/10/24,Total
1,0.25,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.20,0.80,1.00,1.00,1.00,1.00,1.00,9.75
2,0.25,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.15,0.85,1.00,1.00,1.00,1.00,1.00,13.25
3,0.25,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.75,0.00,0.50,7.50
4,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
5,0.25,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.30,0.70,1.00,0.30,0.70,1.00,1.00,1.00,1.00,1.00,10.25
6,0.25,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,6.25
7,0.25,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.20,0.80,0.00,0.60,1.00,0.20,0.80,1.00,0.75,0.65,0.00,0.00,7.25
8,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.25,0.75,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.65,0.00,6.90
9,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,7.25
10,0.25,0.00,0.00,0.00,1.00,0.50,0.30,0.70,0.30,0.70,0.30,0.70,1.00,0.30,0.70,0.60,1.00,0.00,1.00,1.00,10.35
11,0.25,0.00,0.00,0.00,1.00,0.00,0.30,0.00,0.30,0.70,0.30,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,6.85
12,0.25,0.00,0.00,0.00,1.00,1.00,0.00,0.50,0.30,0.70,0.00,1.00,1.00,0.30,0.70,0.00,0.65,0.00,0.00,0.25,7.65
13,0.25,0.00,0.00,0.00,0.50,0.00,0.30,0.70,0.30,0.70,0.30,0.20,1.00,0.30,0.70,0.75,0.90,0.00,0.00,0.00,6.90
14,0.25,0.00,0.00,0.00,1.00,1.00,0.00,0.25,0.30,0.50,0.30,0.25,1.00,0.30,0.70,1.00,0.50,0.00,0.00,0.30,7.65
15,0.25,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,11.25
16,0.25,0.00,0.00,0.00,1.00,0.80,0.30,0.00,0.25,0.75,0.00,1.00,1.00,0.00,1.00,0.70,1.00,0.00,0.00,0.00,8.05
