"soil analysis, Colby, KS, August 1-2, 2024, sample depth 0-12 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Plot ID,Lat,Lng,Sample ID,Soil pH,Excess Lime,Organic matter (%),Nitrate-Nitrogen (ppm),Nitrate-Nitrogen (lbs of N/acre),Phosphorus (ppm),Potassium (ppm),Sulfur (ppm),Sulfur (lbs of S/acre),Calicium (ppm),Magnesium (ppm),Sodium (ppm),Zinc (ppm),Iron (ppm),Manganese (ppm),Copper (ppm),Boron (ppm),CEC (meq per 100g),CEC K (%),CEC Ca (%),CEC Mg (%),CEC Na (%),,,,,,,,
33,1503,39.38612737,-101.0654552,1,7.4,No,1.8,10.8,39,17,557,14,50,2810,603,87,2.6,48,175,2.4,1.2,21,7,67,24,2,,,,,,,,
14,1304,39.38596744,-101.065067,2,7.2,No,2.1,17.6,63,13,505,13,47,2830,637,93,1.7,46,161,2.6,1.2,21,6,67,25,2,,,,,,,,
22,1305,39.38596518,-101.0646779,3,6.9,No,1.9,76.7,276,20,577,17,61,2670,587,86,2.3,42,154,2.4,1.1,20,7,66,24,2,,,,,,,,
23,1306,39.38596293,-101.0642887,4,7.5,No,1.9,21.9,79,38,522,21,76,2710,542,80,2.1,41,167,2.3,1.3,20,7,69,23,2,,,,,,,,
18,1206,39.38588057,-101.0642892,5,7.4,No,1.8,40.6,146,43,558,21,76,2660,537,79,1.8,40,165,2.1,1.2,20,7,68,23,2,,,,,,,,
29,1205,39.38588282,-101.0646784,6,7.3,No,1.9,24,86,20,573,15,54,2730,591,88,1.1,42,151,2.4,1.1,20,7,67,24,2,,,,,,,,
1,1204,39.38588508,-101.0650675,7,7.8,No,1.9,25.8,93,16,529,13,47,2950,604,80,1.7,45,153,2.6,1.2,21,6,69,23,2,,,,,,,,
9,1104,39.38580272,-101.065068,8,7.9,Lo,1.9,11.4,41,15,536,15,54,5880,549,81,1,29,125,2.2,1.3,31,4,80,15,1,,,,,,,,
16,1105,39.38580046,-101.0646789,9,7.9,Lo,1.8,121,436,17,585,14,50,4480,540,73,1,36,143,2.2,1.3,29,5,78,16,1,,,,,,,,
25,1106,39.38579821,-101.0642897,10,7.6,No,1.9,54.1,195,27,555,31,112,3240,518,84,2.1,39,163,2.5,1.3,22,6,73,19,2,,,,,,,,
7,1006,39.38571585,-101.0642902,11,7.3,No,1.9,16.6,60,41,556,20,72,2660,531,75,14.5,42,167,2.1,0.2,19,7,68,23,2,,,,,,,,
3,1005,39.3857181,-101.0646794,12,7.8,Lo,1.8,6.5,23,17,500,8,29,3540,517,59,1,40,132,2.1,1.2,24,5,75,18,1,,,,,,,,
31,1004,39.38572035,-101.0650686,13,8.2,Hi,1.8,11.6,42,16,543,19,68,6190,544,81,5.8,25,110,2,1.2,31,4,80,14,1,,,,,,,,
32,904,39.38563799,-101.0650691,14,7.8,Hi,2.4,23.1,83,23,541,20,72,6270,523,88,1,23,101,2,1.3,31,4,80,14,1,,,,,,,,
6,905,39.38563574,-101.0646799,15,7.6,Lo,1.7,16.4,59,12,526,17,61,4080,584,766,0.9,34,141,2.3,1.2,27,5,76,18,1,,,,,,,,
11,906,39.38563349,-101.0642908,16,7.5,No,1.9,40.5,146,22,600,22,79,3040,569,81,1.9,42,172,2.1,1.3,22,7,70,22,2,,,,,,,,
20,806,39.38555123,-101.0642913,17,7.9,Hi,2.0,60.8,219,23,581,24,86,6710,583,97,1,28,109,2.1,1.3,32,5,79,15,1,,,,,,,,
12,805,39.38555348,-101.0646804,18,7.8,Lo,2.0,36,130,21,605,17,61,4390,633,82,4.7,38,145,2.5,1.4,29,5,75,18,1,,,,,,,,
24,804,39.38555573,-101.0650696,19,7.7,No,1.8,22.1,80,19,559,18,65,2930,507,84,1.4,40,154,2.1,1.2,21,7,71,20,2,,,,,,,,
10,604,39.38539147,-101.0650706,20,7.9,Lo,1.8,69.2,249,18,574,28,101,5620,564,88,1.1,29,122,2.1,1.4,32,5,79,15,1,,,,,,,,
26,605,39.38538922,-101.0646814,21,7.7,Lo,2.2,9.4,34,23,586,21,76,3800,630,83,1.5,39,145,2.6,1.5,26,6,73,20,1,,,,,,,,
17,606,39.38538697,-101.0642923,22,7.5,No,1.9,16.2,58,30,533,15,54,2640,524,70,1.4,41,152,2.1,1.2,19,7,69,23,2,,,,,,,,
