"NWREC Colby, KS, Texture Data, 5/29/2024, Analysis by ServiTech",,,,,,,,,,
Plot ID,Lat,Lng,Lab_ID,Sample ID,Sample Depth (in),OMC (%) ,Soil Textural Class,Sand (%),Silt (%),Clay (%)
301,39.38517552,-101.0662052,119912,1,0 - 12,3.3,Silty Clay Loam,17.6,54.9,27.5
301,39.38517552,-101.0662052,119913,2,12 - 24,0.9,Silty Clay Loam,18.9,53.6,27.5
301,39.38517552,-101.0662052,119914,3,24 - 36,1.0,Silty Clay Loam,18.0,53.4,28.6
301,39.38517552,-101.0662052,119915,4,36 - 48,0.9,Silt Loam,19.2,58.4,22.4
301,39.38517552,-101.0662052,119916,5,48 - 60,0.9,Silt Loam,20.5,60.9,18.6
301,39.38517552,-101.0662052,119917,6,60 - 72,0.9,Silt Loam,21.3,63.7,15.0
301,39.38517552,-101.0662052,119918,7,72 - 84,0.9,Silt Loam,21.2,63.8,15.0
301,39.38517552,-101.0662052,119919,8,84 - 96,0.8,Silt Loam,22.5,65.0,12.5
301,39.38517552,-101.0662052,119920,9,96-108,0.8,Silt Loam,20.6,67.0,12.4
301,39.38517552,-101.0662052,119921,10,108-120,0.9,Silt Loam,20.1,67.4,12.5
404,39.38525267,-101.0650655,119922,11,0 - 12,1.7,Silt Loam,21.7,55.9,22.4
404,39.38525267,-101.0650655,119923,12,12 - 24,1.3,Silty Clay Loam,18.8,53.7,27.5
404,39.38525267,-101.0650655,119924,13,24 - 36,0.9,Silt Loam,22.5,57.5,20.0
404,39.38525267,-101.0650655,119925,14,36 - 48,0.9,Silt Loam,23.9,61.1,15.0
404,39.38525267,-101.0650655,119926,15,48 - 60,0.8,Silt Loam,24.2,62.1,13.7
404,39.38525267,-101.0650655,119927,16,60 - 72,0.9,Silt Loam,22.6,63.7,13.7
404,39.38525267,-101.0650655,119928,17,72 - 84,0.8,Silt Loam,23.8,62.5,13.7
404,39.38525267,-101.0650655,119929,18,84 - 96,0.8,Silt Loam,22.6,66.2,11.2
404,39.38525267,-101.0650655,119930,19,96-108,0.9,Silt Loam,21.2,66.5,12.3
404,39.38525267,-101.0650655,119931,20,108-120,0.9,Silt Loam,20.3,67.3,12.4
1105,39.38579864,-101.0646256,119932,21,0 - 12,1.7,Silt Loam,21.7,53.5,24.8
1105,39.38579864,-101.0646256,119933,22,12 - 24,1.0,Silt Loam,24.1,57.2,18.7
1105,39.38579864,-101.0646256,119934,23,24 - 36,0.9,Silt Loam,23.1,62.0,14.9
1105,39.38579864,-101.0646256,119935,24,36 - 48,0.9,Silt Loam,23.8,63.7,12.5
